,MAKE A COPY TO BEGIN YOUR WORK. THIS IS A READ ONLY FILE,,,,,,,,,,,,,
Record Creation ,Frequent Flier Number,Join Date,First Name,Last Name,Inquiry Type,Most Recent Flight #,Lounge Used?,Departing Airport,Arrival Airport,Planned Snack?,Additional Snack?,# of Included Checked Bags,Total # of Checked Bags,Flight Delayed?
2024-02-27,7234617746,1988/07/08,debbie,spears,Flight Status,G35206241,FALSE,DFW,DEN,FALSE,TRUE,0,16,TRUE
2021-03-07,7234617746,1988/07/08,debbie,Spears,New Flight,V81311927,TRUE,JFK,SFO,FALSE,TRUE,1,21,FALSE
2023-01-31,7234617746,07/08/1988,debbie,spears,Cancel Flight,H82295055,FALSE,MIA,ORD,FALSE,FALSE,7,5,TRUE
2021-08-21,551121699,06/16/2022,kyle,Boone,New Flight,E39886834,TRUE,ttt,,FALSE,TRUE,,8,FALSE
2022-03-01,551121699,16-06-2022,KYLE,Boone,New Flight,R04390271,,SFO,DFW,FALSE,FALSE,3,17,FALSE
2022-08-30,551121699,2022/06/16,KYLE,boone,Flight Status,R17922982,FALSE,SFO,LAX,TRUE,TRUE,-1,16,FALSE
2022-10-25,551121699,06/16/2022,KYLE,Boone,Cancel Flight,Q79735097,TRUE,MIA,ATL,FALSE,TRUE,4,15,FALSE
2023-10-14,551121699,16-06-2022,kyle,Boone,Flight Deal,C90731620,TRUE,ORD,SFO,FALSE,FALSE,3,15,TRUE
2023-05-13,8148422695,19-07-1992,JANET,cooper,Flight Status,A90359849,,SEA,BOS,TRUE,FALSE,0,7,TRUE
2022-10-18,8148422695,19-07-1992,,Cooper,Flight Deal,M18536063,FALSE,DFW,LAX,TRUE,FALSE,9,10,TRUE
2022-01-09,8148422695,19-07-1992,JANET,Cooper,Flight Deal,I09090121,FALSE,JFK,SFO,TRUE,FALSE,3,12,TRUE
2023-09-29,8148422695,19-07-1992,JANET,cooper,Cancel Flight,V29958355,FALSE,LAX,YYY,FALSE,FALSE,-1,,TRUE
2024-09-04,8148422695,19-07-1992,,Cooper,Flight Status,L67741141,FALSE,BOS,DEN,FALSE,FALSE,4,14,TRUE
2021-11-07,8148422695,1992/07/19,,Cooper,Flight Deal,F68885820,FALSE,SEA,ORD,FALSE,FALSE,13,14,TRUE
2024-09-16,8148422695,19-07-1992,JANET,Cooper,Flight Deal,Y89652120,TRUE,ORD,SEA,TRUE,FALSE,-1,6,FALSE
2023-04-13,8148422695,07/19/1992,janet,cooper,New Flight,Q67525506,,DEN,SFO,FALSE,TRUE,0,10,FALSE
2023-05-25,,19-07-1992,JANET,cooper,Flight Status,O52688958,TRUE,LAX,,TRUE,TRUE,-1,1,TRUE
2023-06-10,8148422695,19-07-1992,,Cooper,New Flight,A98904253,TRUE,SFO,DEN,FALSE,FALSE,12,23,TRUE
2024-04-18,3414172587,01-11-1995,abigail,dean,Flight Deal,L53709933,TRUE,ORD,LAX,FALSE,FALSE,2,17,TRUE
2022-09-28,3414172587,1995/11/01,abigail,Dean,New Flight,H22497580,TRUE,ATL,LAX,TRUE,FALSE,0,10,FALSE
2024-04-14,3414172587,1995/11/01,abigail,dean,Flight Deal,U71809652,TRUE,ttt,SEA,,TRUE,2,10,
2024-03-10,5259235142,23-02-2009,RICHARD,munoz,New Flight,T80934864,FALSE,BOS,ATL,FALSE,FALSE,0,9,FALSE
2024-02-11,5259235142,2009/02/23,richard,Munoz,New Flight,Y35174035,FALSE,JFK,LAX,FALSE,TRUE,-1,12,TRUE
2024-06-17,5259235142,02/23/2009,RICHARD,,Flight Deal,R34871976,TRUE,BOS,ORD,TRUE,FALSE,0,24,TRUE
2022-08-22,5259235142,23-02-2009,RICHARD,munoz,Flight Deal,V57982944,FALSE,ORD,DEN,FALSE,TRUE,10,3,TRUE
2024-01-05,5259235142,,RICHARD,Munoz,New Flight,E58601983,TRUE,DFW,BOS,FALSE,TRUE,2,3,FALSE
2021-08-12,5259235142,23-02-2009,RICHARD,munoz,Flight Status,L84281320,FALSE,ATL,SFO,FALSE,TRUE,1,21,FALSE
2024-08-25,5259235142,02/23/2009,RICHARD,munoz,Cancel Flight,J93214307,TRUE,SEA,DFW,FALSE,FALSE,0,9,FALSE
2022-11-21,5259235142,02/23/2009,RICHARD,Munoz,Flight Status,L42517739,TRUE,JFK,ORD,FALSE,TRUE,0,21,TRUE
2021-11-06,5259235142,02/23/2009,RICHARD,Munoz,Flight Deal,O53230530,TRUE,SEA,DEN,FALSE,FALSE,0,4,TRUE
2022-01-10,5259235142,2009/02/23,richard,munoz,Flight Status,Q58855294,TRUE,JFK,SEA,FALSE,TRUE,3,15,TRUE
2024-06-12,1631888987,2016/07/18,jennifer,miller,New Flight,L17701292,TRUE,LAX,ATL,FALSE,TRUE,-1,2,FALSE
2024-07-07,1631888987,18-07-2016,JENNIFER,Miller,Flight Status,R24574060,FALSE,SEA,BOS,TRUE,FALSE,-1,,FALSE
2021-06-12,1631888987,2016/07/18,JENNIFER,Miller,New Flight,O20379952,FALSE,ORD,,FALSE,TRUE,-1,12,TRUE
2024-08-10,1631888987,18-07-2016,JENNIFER,Miller,Flight Deal,Q69217831,FALSE,ORD,JFK,FALSE,FALSE,0,6,TRUE
2024-03-24,,07/18/2016,jennifer,Miller,Flight Status,O40343660,TRUE,DEN,SFO,TRUE,TRUE,0,13,TRUE
2024-09-08,4892826664,2006/08/16,MEREDITH,dunn,Flight Status,H35015800,TRUE,SFO,ATL,FALSE,TRUE,1,24,TRUE
2022-03-25,4892826664,08/16/2006,meredith,dunn,Flight Status,P09187719,FALSE,SFO,ATL,TRUE,FALSE,-1,,FALSE
2022-10-27,4892826664,08/16/2006,MEREDITH,Dunn,Cancel Flight,U95487821,FALSE,LAX,DEN,TRUE,FALSE,11,8,TRUE
2024-03-20,5688379797,1998/08/26,LAURA,Mccoy,Flight Status,Z99865994,FALSE,SEA,JFK,FALSE,FALSE,0,8,
2024-07-24,5688379797,26-08-1998,LAURA,Mccoy,New Flight,T25121318,FALSE,MIA,,FALSE,TRUE,1,18,TRUE
2024-06-23,5688379797,08/26/1998,laura,Mccoy,New Flight,V90314095,TRUE,ORD,SFO,FALSE,TRUE,-1,16,TRUE
2024-02-03,5688379797,1998/08/26,laura,Mccoy,New Flight,X55734963,FALSE,BOS,ATL,TRUE,,-1,24,TRUE
2024-06-07,5688379797,26-08-1998,LAURA,mccoy,Flight Status,Y17645697,FALSE,DFW,DEN,FALSE,TRUE,3,8,FALSE
2022-07-07,720393375,15-05-1992,SANDRA,Harper,Flight Status,K38990125,FALSE,ttt,MIA,TRUE,TRUE,0,14,FALSE
2023-04-16,720393375,15-05-1992,sandra,harper,Cancel Flight,B31735941,FALSE,ORD,MIA,FALSE,FALSE,12,6,FALSE
2022-04-08,720393375,15-05-1992,SANDRA,harper,New Flight,H36792964,TRUE,DFW,ATL,FALSE,,12,22,FALSE
2023-09-11,10806849,1998/05/28,MANUEL,Morales,New Flight,V54669925,FALSE,,MIA,FALSE,FALSE,-1,1,TRUE
2021-08-07,10806849,1998/05/28,manuel,Morales,Flight Status,A69683768,FALSE,BOS,MIA,FALSE,TRUE,2,16,TRUE
2021-09-19,10806849,1998/05/28,manuel,Morales,Flight Deal,F25928056,FALSE,LAX,YYY,,TRUE,2,3,TRUE
2021-11-25,5930073768,2019/06/28,SARAH,Tran,Flight Deal,U32540313,TRUE,DEN,YYY,FALSE,TRUE,0,7,TRUE
2023-10-18,5930073768,28-06-2019,sarah,tran,Cancel Flight,X81794050,TRUE,LAX,BOS,TRUE,FALSE,-1,8,FALSE
2021-09-19,5930073768,06/28/2019,sarah,tran,Flight Status,R68716705,FALSE,JFK,ORD,TRUE,FALSE,9,15,FALSE
2022-11-02,5930073768,2019/06/28,sarah,tran,,K08441419,TRUE,ATL,ORD,FALSE,TRUE,8,4,TRUE
2023-11-16,5930073768,2019/06/28,sarah,Tran,New Flight,P34731536,FALSE,JFK,DEN,TRUE,TRUE,4,7,TRUE
2022-09-03,5101312032,2005/10/31,angel,moore,Cancel Flight,C24489016,FALSE,LAX,,TRUE,TRUE,3,3,TRUE
2021-10-10,5101312032,31-10-2005,angel,Moore,,M23687765,FALSE,SEA,DEN,TRUE,TRUE,9,,FALSE
2024-04-24,5101312032,2005/10/31,ANGEL,Moore,New Flight,A62150307,FALSE,ATL,LAX,TRUE,FALSE,-1,5,TRUE
2024-06-22,5101312032,10/31/2005,angel,moore,Flight Status,X76417067,FALSE,MIA,ORD,TRUE,TRUE,11,12,TRUE
2022-10-11,5101312032,31-10-2005,ANGEL,moore,New Flight,D63145504,TRUE,DEN,BOS,TRUE,TRUE,4,,TRUE
2021-01-12,6049318919,20-02-2009,samantha,mcintyre,Flight Deal,G75468959,FALSE,BOS,MIA,TRUE,TRUE,0,10,FALSE
2024-09-19,6049318919,02/20/2009,SAMANTHA,Mcintyre,New Flight,I09744293,TRUE,ATL,ORD,,FALSE,0,6,FALSE
2024-08-16,6049318919,02/20/2009,SAMANTHA,Mcintyre,Flight Deal,M80082593,TRUE,SEA,YYY,FALSE,TRUE,0,3,FALSE
2023-09-17,6049318919,02/20/2009,SAMANTHA,mcintyre,Flight Deal,X45928259,TRUE,SEA,ATL,TRUE,TRUE,-1,5,TRUE
2024-02-23,6049318919,2009/02/20,SAMANTHA,Mcintyre,,T11603624,FALSE,LAX,DFW,TRUE,FALSE,4,5,FALSE
2024-10-15,638947621,1988/05/18,madeline,Rowe,New Flight,J03173619,FALSE,JFK,ATL,TRUE,TRUE,0,7,
2024-08-13,638947621,05/18/1988,MADELINE,rowe,,E20805231,FALSE,JFK,DFW,TRUE,,0,12,FALSE
2021-07-13,638947621,18-05-1988,MADELINE,Rowe,New Flight,F09557816,FALSE,SEA,BOS,,TRUE,9,5,
2022-11-27,638947621,18-05-1988,madeline,Rowe,Flight Deal,T22454039,TRUE,SEA,LAX,TRUE,TRUE,0,5,FALSE
2022-08-31,638947621,18-05-1988,MADELINE,Rowe,New Flight,X27641920,,MIA,ATL,,TRUE,,23,FALSE
2021-03-05,7585690923,,susan,moore,Flight Status,K65727856,TRUE,ORD,LAX,TRUE,FALSE,-1,23,TRUE
2023-03-20,,2021/03/31,SUSAN,moore,Flight Deal,B67671667,FALSE,SEA,ATL,TRUE,FALSE,3,19,FALSE
2023-01-06,7585690923,2021/03/31,susan,moore,Flight Deal,S77348775,FALSE,SEA,ATL,FALSE,TRUE,-1,7,TRUE
2021-08-07,7585690923,31-03-2021,SUSAN,Moore,Flight Status,B16204896,TRUE,MIA,JFK,FALSE,FALSE,-1,18,TRUE
2023-12-06,7585690923,2021/03/31,susan,Moore,Flight Deal,I84811193,TRUE,SEA,JFK,FALSE,TRUE,4,10,FALSE
2022-11-07,2006254277,11/18/2017,,Allen,Flight Deal,Q17537727,FALSE,SFO,YYY,FALSE,FALSE,,5,FALSE
2023-05-27,2006254277,11/18/2017,ernest,Allen,Cancel Flight,H38511376,FALSE,MIA,LAX,FALSE,FALSE,0,20,FALSE
2021-08-08,2006254277,,ernest,Allen,Cancel Flight,C51749818,TRUE,SEA,SFO,TRUE,FALSE,-1,13,FALSE
2022-11-19,2006254277,11/18/2017,ernest,allen,Flight Deal,L28350189,TRUE,ATL,LAX,FALSE,FALSE,1,12,FALSE
2023-10-07,,11/18/2017,ernest,Allen,Cancel Flight,W84526593,FALSE,DFW,ORD,TRUE,FALSE,4,2,FALSE
2024-01-03,4326823941,1997/06/22,richard,jones,New Flight,O33032585,FALSE,LAX,JFK,TRUE,FALSE,0,,TRUE
2024-02-18,4326823941,,RICHARD,Jones,Flight Status,V82742603,TRUE,,JFK,FALSE,TRUE,0,20,TRUE
2021-03-29,4326823941,22-06-1997,RICHARD,Jones,New Flight,Z71433611,TRUE,SFO,ATL,TRUE,TRUE,8,7,TRUE
2023-05-09,4326823941,22-06-1997,richard,Jones,Flight Status,D71172376,TRUE,DFW,BOS,TRUE,FALSE,0,13,TRUE
2024-06-26,8178926591,14-12-1989,SHAWN,Smith,Flight Deal,F75055107,,SFO,JFK,FALSE,FALSE,,14,TRUE
2022-08-01,8178926591,14-12-1989,SHAWN,smith,Cancel Flight,,TRUE,BOS,ATL,FALSE,FALSE,0,8,
2021-09-12,8178926591,14-12-1989,shawn,Smith,,P31025555,FALSE,DEN,,TRUE,FALSE,-1,7,FALSE
2022-06-13,8178926591,14-12-1989,SHAWN,Smith,,L42850538,TRUE,BOS,JFK,FALSE,FALSE,-1,4,FALSE
2022-07-31,8178926591,12/14/1989,SHAWN,smith,New Flight,K18226152,TRUE,SEA,DFW,TRUE,FALSE,0,10,TRUE
2023-06-27,8337928883,10/11/1995,jeffery,miller,,X38082053,FALSE,SEA,ATL,TRUE,FALSE,,5,TRUE
2024-01-31,8337928883,,jeffery,miller,Flight Status,P81196631,TRUE,ttt,ATL,FALSE,FALSE,-1,9,FALSE
2021-09-22,8337928883,10/11/1995,JEFFERY,,,F93669126,TRUE,ttt,YYY,TRUE,FALSE,0,10,FALSE
2021-04-30,8337928883,11-10-1995,jeffery,miller,Flight Deal,Q09108262,TRUE,BOS,YYY,FALSE,TRUE,8,6,TRUE
2021-05-18,8337928883,1995/10/11,jeffery,,Flight Status,Z19801105,FALSE,SEA,DFW,TRUE,FALSE,2,8,FALSE
2022-09-28,9825953990,1991/01/01,janet,martinez,Cancel Flight,J09457618,TRUE,JFK,SFO,TRUE,FALSE,9,17,FALSE
2023-11-11,9825953990,01/01/1991,janet,martinez,Cancel Flight,B93119823,TRUE,SEA,MIA,TRUE,FALSE,2,9,TRUE
2024-09-11,9825953990,1991/01/01,JANET,martinez,Cancel Flight,I25876824,TRUE,ORD,DFW,FALSE,TRUE,9,18,TRUE
2021-10-21,9825953990,01/01/1991,JANET,Martinez,New Flight,O68933642,FALSE,LAX,,FALSE,FALSE,,10,TRUE
2022-03-01,4489829680,15-07-1997,sean,morales,Cancel Flight,S03111863,FALSE,SFO,ATL,TRUE,FALSE,4,8,FALSE
2022-06-04,4489829680,,sean,morales,Cancel Flight,J09313944,FALSE,BOS,JFK,TRUE,TRUE,2,20,FALSE
2023-03-18,,15-07-1997,sean,morales,Cancel Flight,P32699312,,BOS,DEN,FALSE,TRUE,2,4,TRUE
2021-12-31,4489829680,07/15/1997,SEAN,Morales,New Flight,F30861450,FALSE,BOS,ATL,TRUE,FALSE,-1,,FALSE
2024-05-07,4489829680,1997/07/15,sean,Morales,Flight Status,J69263047,,ttt,,FALSE,FALSE,2,4,TRUE
2023-08-06,4489829680,,sean,morales,New Flight,F99798262,FALSE,JFK,SEA,FALSE,FALSE,-1,7,TRUE
2022-09-06,4489829680,07/15/1997,SEAN,Morales,Flight Status,M15412930,,ORD,DFW,FALSE,FALSE,3,7,FALSE
2024-08-25,4489829680,15-07-1997,sean,Morales,Cancel Flight,F78986074,FALSE,DFW,MIA,TRUE,FALSE,-1,17,TRUE
2022-04-11,4489829680,15-07-1997,sean,Morales,Flight Status,,FALSE,MIA,,FALSE,TRUE,0,17,FALSE
2022-10-16,4489829680,1997/07/15,sean,,Cancel Flight,I81118802,FALSE,SFO,BOS,FALSE,TRUE,-1,12,FALSE
2023-10-12,8664900415,2006/02/01,KRISTIN,,Flight Status,N82452268,,LAX,ORD,FALSE,FALSE,0,7,TRUE
2021-09-13,8664900415,01-02-2006,KRISTIN,Mckenzie,,F96768036,TRUE,,DEN,FALSE,FALSE,0,14,FALSE
2023-12-27,8664900415,01-02-2006,KRISTIN,Mckenzie,Flight Deal,Z32171369,FALSE,BOS,ORD,TRUE,FALSE,-1,21,TRUE
2024-08-21,,2006/02/01,kristin,mckenzie,New Flight,Y05702343,FALSE,ATL,JFK,FALSE,FALSE,4,2,TRUE
2023-10-20,,02/01/2006,kristin,mckenzie,New Flight,Q20703754,FALSE,SFO,JFK,TRUE,FALSE,10,5,
2021-11-30,9643173128,2021/12/04,chloe,marshall,Cancel Flight,W87775932,TRUE,LAX,ATL,FALSE,FALSE,2,14,FALSE
2021-05-02,,,CHLOE,marshall,New Flight,H88531426,FALSE,SEA,LAX,TRUE,FALSE,-1,18,TRUE
2022-08-20,9643173128,2021/12/04,chloe,Marshall,Flight Status,J78057561,FALSE,SEA,ORD,FALSE,FALSE,0,11,TRUE
2023-06-15,9643173128,2021/12/04,CHLOE,,,T50334293,TRUE,JFK,MIA,TRUE,FALSE,13,2,TRUE
2024-09-05,7469667722,08/17/2010,RYAN,,Flight Deal,O95103342,TRUE,ATL,SFO,TRUE,TRUE,0,19,TRUE
2023-03-01,7469667722,08/17/2010,RYAN,Harris,Cancel Flight,E31587584,FALSE,DEN,ATL,FALSE,FALSE,13,10,FALSE
2021-08-25,7469667722,17-08-2010,RYAN,harris,Flight Deal,H57265787,TRUE,LAX,DEN,FALSE,TRUE,3,19,FALSE
2024-01-10,7469667722,08/17/2010,RYAN,harris,Cancel Flight,C74388679,TRUE,DFW,SEA,FALSE,TRUE,0,14,
2024-01-09,8430707997,1997/11/14,JENNIFER,kim,,G02543335,TRUE,DFW,DEN,TRUE,FALSE,2,17,TRUE
2023-02-15,8430707997,11/14/1997,JENNIFER,Kim,Flight Deal,J71100735,TRUE,DFW,JFK,TRUE,TRUE,11,3,TRUE
2022-12-20,8430707997,1997/11/14,,kim,New Flight,T76011493,FALSE,DFW,ORD,TRUE,FALSE,4,15,FALSE
2024-03-16,8430707997,,JENNIFER,Kim,Cancel Flight,,TRUE,ORD,DFW,FALSE,FALSE,-1,24,TRUE
2023-08-23,8430707997,1997/11/14,jennifer,Kim,Flight Deal,T87651378,,BOS,LAX,TRUE,TRUE,4,9,TRUE
2022-03-05,798566447,09-07-2005,joseph,Brooks,Cancel Flight,Y10658674,TRUE,ATL,ORD,TRUE,TRUE,11,10,TRUE
2022-02-16,798566447,07/09/2005,JOSEPH,Brooks,New Flight,A17249659,TRUE,ATL,YYY,FALSE,TRUE,11,3,FALSE
2024-06-04,798566447,09-07-2005,JOSEPH,brooks,,A27260107,FALSE,LAX,ORD,FALSE,FALSE,0,7,FALSE
2023-10-13,3135719663,1997/12/02,jessica,williams,New Flight,Y26533709,,LAX,ORD,TRUE,FALSE,-1,4,FALSE
